ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-02-25T01:57:34+00:00,1771984654,9,3,1,56,2,1,0,0,2026-02-25T03:57:34+02:00,2026-02-24T20:57:34-05:00,88bbf824206a,csv-ledger-v1
2026-02-25T04:23:37+00:00,1771993417,9,3,4,56,2,1,0,0,2026-02-25T06:23:37+02:00,2026-02-24T23:23:37-05:00,f77b7eaf39fa,csv-ledger-v1
2026-02-25T05:58:17+00:00,1771999097,9,3,5,56,2,1,0,0,2026-02-25T07:58:17+02:00,2026-02-25T00:58:17-05:00,7a65d7efaa3b,csv-ledger-v1
2026-02-25T07:09:44+00:00,1772003384,9,3,7,56,2,1,0,0,2026-02-25T09:09:44+02:00,2026-02-25T02:09:44-05:00,bb2dd3a63561,csv-ledger-v1
2026-02-25T08:44:20+00:00,1772009060,9,3,8,56,2,1,0,0,2026-02-25T10:44:20+02:00,2026-02-25T03:44:20-05:00,8aa6b79874e8,csv-ledger-v1
2026-02-25T09:52:15+00:00,1772013135,9,3,9,56,2,1,0,0,2026-02-25T11:52:15+02:00,2026-02-25T04:52:15-05:00,2e789e358086,csv-ledger-v1
2026-02-25T10:48:54+00:00,1772016534,9,3,10,56,2,1,0,0,2026-02-25T12:48:54+02:00,2026-02-25T05:48:54-05:00,8f5728fe1d09,csv-ledger-v1
2026-02-25T11:38:28+00:00,1772019508,9,3,11,56,2,1,0,0,2026-02-25T13:38:28+02:00,2026-02-25T06:38:28-05:00,c2d019c6c390,csv-ledger-v1
2026-02-25T12:59:09+00:00,1772024349,9,3,12,56,2,1,0,0,2026-02-25T14:59:09+02:00,2026-02-25T07:59:09-05:00,a293d6d92a64,csv-ledger-v1
2026-02-25T14:12:35+00:00,1772028755,9,3,14,56,2,1,0,0,2026-02-25T16:12:35+02:00,2026-02-25T09:12:35-05:00,6d46d78e2570,csv-ledger-v1
2026-02-25T15:59:32+00:00,1772035172,9,3,15,56,2,1,0,0,2026-02-25T17:59:32+02:00,2026-02-25T10:59:32-05:00,fa8baa5eb78b,csv-ledger-v1
2026-02-25T17:14:36+00:00,1772039676,9,3,17,56,2,1,0,0,2026-02-25T19:14:36+02:00,2026-02-25T12:14:36-05:00,64051535fc97,csv-ledger-v1
2026-02-25T19:02:44+00:00,1772046164,9,3,19,56,2,1,0,0,2026-02-25T21:02:44+02:00,2026-02-25T14:02:44-05:00,3a2a1b600b96,csv-ledger-v1
2026-02-25T20:32:33+00:00,1772051553,9,3,20,56,2,1,0,0,2026-02-25T22:32:33+02:00,2026-02-25T15:32:33-05:00,deb5ca798002,csv-ledger-v1
2026-02-25T21:32:41+00:00,1772055161,9,3,21,56,2,1,0,0,2026-02-25T23:32:41+02:00,2026-02-25T16:32:41-05:00,d58fc5b9411a,csv-ledger-v1
